100 Meters (Men)
Rusheen McDonald, JAM, 44.89
Antonio Watson, JAM, 44.89
Ammar Ismail Yahia Ibrahim, QAT, 44.90
Delano Kennedy, JAM, 44.91
Jenoah McKiver, USA, 44.92 (Alternate)
Chidi Okezie, NGR, 44.98
Eugene Omalla, NED, 45.04
Jean Paul Bredau, GER, 45.11
Fuga Sato, JPN, 45.16
Maksymilian Szwed, POL, 45.18
Lionel Spitz, SUI, 45.24
Cooper Sherman, AUS, 45.26
Isaya Klein Ikkink, NED, 45.58
Luca Sito, ITA, 46.15 (indoor)
Umar Osman, MAS, 46.25
800 Meters (Men)
Emmanuel Wanyonyi, KEN, 1:41.44
Josh Hoey, USA, 1:42.01 (Alternate)
Donavan Brazier, USA, 1:42.16
Djamel Sedjati, ALG, 1:42.20
Marco Arop, CAN, 1:42.22
Cooper Lutkenhaus, USA, 1:42.27
Max Burgin, GBR, 1:42.36
Bryce Hoppel, USA, 1:42.49
Peter Bol, AUS, 1:42.55
Tshepiso Masalela, BOT, 1:42.70
Gabriel Tual, FRA, 1:42.72
Mohamed Attaoui, ESP, 1:42.73
Slimane Moula, ALG, 1:42.77
Handal Roban, VIN, 1:42.87
Mark English, IRL, 1:43.37
Nicholas Kiplangat Kebenei, KEN, 1:43.54
Mohamed Ali Gouaned, ALG, 1:43.56
Kethobogile Haingura, BOT, 1:43.58
Kelvin Kimtai Loti, KEN, 1:43.61
Mariano García, ESP, 1:43.62
Yanis Meziane, FRA, 1:43.71
Andreas Kramer, SWE, 1:43.73
Tyrice Taylor, JAM, 1:43.74
Eliott Crestan, BEL, 1:43.79
Moad Zahafi, MAR, 1:43.82
David Barroso, ESP, 1:43.95
Samuel Chapple, NED, 1:43.96
Marino Bloudek, CRO, 1:44.01
Francesco Pernici, ITA, 1:44.05
Peyton Craig, AUS, 1:44.07
Abderrahman El Assal, MAR, 1:44.07
Ibrahim Abass Chuot, QAT, 1:44.08
Pieter Sisk, BEL, 1:44.09
Ben Pattison, GBR, 1:44.14
Patryk Sieradzki, POL, 1:44.16
Alexander Stepanov, GER, 1:44.17
Navasky Anderson, JAM, 1:44.18
Cian McPhillips, IRL, 1:44.19
Abdelati El Guesse, MAR, 1:44.19
Maciej Wyderka, POL, 1:44.23
Abdullahi Hassan, CAN, 1:44.25
Filip Ostrowski, POL, 1:44.25
Justin Davies, GBR, 1:44.35
Alex Ngeno Kipngetich, KEN, 1:44.40
Tobias Grønstad, NOR, 1:44.41
Justin O’Toole, CAN, 1:44.42
Pablo Sánchez-Valladares, ESP, 1:44.46
Jakub Dudycha, CZE, 1:44.48
Tiarnan Crorken, GBR, 1:44.48
Matthew Erickson, CAN, 1:44.49
Yohannes Tefera, ETH, 1:44.49
Luke Boyes, AUS, 1:44.50
Ivan Pelizza, SUI, 1:44.53
Catalin Tecuceanu, ITA, 1:44.56
Ebrahim Alzofairi, KUW, 1:44.59
Tom Dradriga, UGA, 1:44.59
Giovanni Lazzaro, ITA, 1:44.95
Alex Amankwa, GHA, 1:45.08
Ko Ochiai, JPN, 1:45.16
Ryan Clarke, NED, 1:45.26
Eduardo Ribeiro, BRA, 1:45.51
Jared Micallef, MLT, 1:46.08
Musa Suliman, ART, 1:48.64
Hein Htet Aung, MYA, 1:49.58
Mohammed Dwedar, PLE, 1:52.80
Stephen Rahuasi, SOL, 1:53.50
1500 Meters (Men)
Azeddine Habz, FRA, 3:27.49
Phanuel Kipkosgei Koech, KEN, 3:27.72
Niels Laros, NED, 3:29.20
Stefan Nillessen, NED, 3:29.23
Josh Kerr, GBR, 3:29.37
Isaac Nader, POR, 3:29.37
Jakob Ingebrigtsen, NOR, 3:29.63
Timothy Cheruiyot, KEN, 3:29.75
Cameron Myers, AUS, 3:29.80
Reynold Cheruiyot, KEN, 3:29.91
Jonah Koech, USA, 3:30.17
Ethan Strand, USA, 3:30.25
Narve Gilje Nordås, NOR, 3:30.26
Håkon Moe Berg, NOR, 3:30.28
Cole Hocker, USA, 3:30.37
Anass Essayi, MAR, 3:30.67
Flavien Szot, FRA, 3:30.74
Robert Farken, GER, 3:30.80
Samuel Pihlström, SWE, 3:30.87
Ruben Verheyden, BEL, 3:30.99
Hobbs Kessler, USA, 3:31.12 (Alternate)
Elliot Giles, GBR, 3:31.13
Oliver Hoare, AUS, 3:31.15
Tshepo Tshite, RSA, 3:31.35
Federico Riva, ITA, 3:31.42
Jake Wightman, GBR, 3:31.58
Romain Mornet, FRA, 3:31.62
Paul Anselmini, FRA, 3:31.63
Adrián Ben, ESP, 3:31.70
Pol Oriach, ESP, 3:31.75
Pieter Sisk, BEL, 3:31.85
Jude Thomas, AUS, 3:31.87
José Carlos Pinto, POR, 3:31.94
Cathal Doyle, IRL, 3:32.15
Nuno Pereira, POR, 3:32.16
Ryan Mphahlele, RSA, 3:32.27
Carlos Saez, ESP, 3:32.28
Foster Malleck, CAN, 3:32.38
Filip Rak, POL, 3:32.53
Kristian Uldbjerg Hansen, DEN, 3:32.60
Andrew Coscoran, IRL, 3:32.64
Adam Spencer, AUS, 3:32.88
Raphael Pallitsch, AUT, 3:32.96
Samuel Tanner, NZL, 3:33.06
Joao Bussotti Neves, ITA, 3:33.08
Neil Gourley, GBR, 3:33.18
Jochem Vermeulen, BEL, 3:33.42
Ermias Girma, ETH, 3:33.44
Fouad Messaoudi, MAR, 3:33.93
Adam Fogg, GBR, 3:34.00
Heithem Chenitef, ALG, 3:34.07
Kieran Lumb, CAN, 3:34.25
Filip Sasínek, CZE, 3:34.30
Hafid Rizqy, MAR, 3:34.75
Melese Nberet, ETH, 3:35.25
Charles Grethen, LUX, 3:35.70
Kazuto Iizawa, JPN, 3:36.81
Charles Philibert-Thiboutot, CAN, 3:37.71
Pietro Arese, ITA, 3:38.47
Yervand Mkrtchyan, ARM, 3:38.63
Diego Javier Lacamoire, ARG, 3:41.34
Mukesh Pal, NEP, 3:49.96
Yeshnil Karan, FIJ, 3:51.14
Hugh Kent, GUM, 4:01.37
5000 Meters (Men)
Grant Fisher, USA, 12:44.09
Andreas Almgren, SWE, 12:44.27
Nico Young, USA, 12:45.27
Biniam MeharY, ETH, 12:45.93
Kuma Girma, ETH, 12:46.41
George Mills, GBR, 12:46.59
Hagos Gebrhiwet, ETH, 12:46.82
Mohammed Ahmed, CAN, 12:47.20 
Thierry Ndikumwenayo, ESP, 12:47.67
Jakob Ingebrigtsen, NOR, 12:48.45
Yomif Kejelcha, ETH, 12:47.84
Birhanu Balew, BRN, 12:48.67
Dominic Lokinyomo Lobalu, SUI, 12:50.87
Jacob Krop, KEN, 12:51.16
Jimmy Gressier, FRA, 12:51.59
Mohamed Abdilaahi, GER, 12:53.63
Soufiane El Bakkali, MAR, 12:55.49
Etienne Daguinos, FRA, 12:55.76
Yann Schrub, FRA, 12:56.57
Cooper Teare, USA, 12:57.05 (Alternate)
Cornelius Kemboi, KEN, 12:57.80
Cole Hocker, USA, 12:57.82
Oscar Chelimo, UGA, 12:58.13
Ky Robinson, AUS, 12:58.38
Eduardo Herrera, MEX, 12:58.57
Luis Grijalva, GUA, 12:58.58
Mathew Kipchumba Kipsang, KEN, 12:58.61
Santiago Catrofe, URU, 12:59.26
Jack Rayner, AUS, 12:59.43
Gulveer Singh, IND, 12:59.77
Keneth Kiprop, UGA, 13:00.49
Isaac Kimeli, BEL, 13:01.39
Saymon Amanuel, ERI, 13:01.85
Darragh McElhinney, IRL, 13:02.06
Mike Foppen, NED, 13:02.43
Valentin Soca, URU, 13:02.85
John Heymans, BEL, 13:03.87
Narve Gilje Nordås, NOR, 13:04.85
Brian Fay, IRL, 13:08.25
Florian Bremm, GER, 13:09.17
Niels Laros, NED, 13:10.86
Andrew Coscoran, IRL, 13:11.05
Harbert Kibet, UGA, 13:11.87
Seth O'Donnell, AUS, 13:14.57
Nagiya Mori, JPN, 13:15.07
Jamal Abdelmaji Eisa Mohammed, ART, 13:21.39
Zhusup Sulaiman Uulu, KGZ, 14:37.99
Ilhamudin Sarajzoy, AFG, –
Chikondi Keneth Mwanyali, MAW, –
10,000 Meters (Men)
Biniam Mehary, ETH, 26:37.93
Berihu Aregawi, ETH, 26:31.13
Selemon Barega, ETH, 26:34.93
Edwin Kurgat, KEN, 26:46.35
Ishmael Rokitto Kipkurui, KEN, 26:47.72
Benson Kiplangat, KEN, 26:50.00
Adriaan Wildschutt, RSA, 26:50.64
Stanley Waithaka Mburu, KEN, 26:56.36
Graham Blanks, USA, 26:57.30
Gulveer Singh, IND, 27:00.22
Ahmed Muhumed, USA, 27:03.19 (Alternate)
Efrem Gidey, IRL, 27:26.95
Mebuki Suzuki, JPN, 27:20.33
Jun Kasai, JPN, 27:17.46
Dan Kibet, UGA, 27:35.86
Davor Aaron Bienenfeld, GER, 27:39.82
Awet Nftalem Kibrab, NOR, 28:06.36
Egide Ntakarutimana, BDI, 27:24.59
Célestin Ndikumana, BDI, 27:42.94
Ignacio Velasquez, CHI, 28:42.88
Andreas Almgren, SWE, 26:52.87
Nico Young, USA, 26:52.72
Grant Fisher, USA, 26:33.84
Yomif Kejelcha, ETH, 26:31.01
Mohammed Ahmed, CAN, 26:34.14
Thierry Ndikumwenayo, ESP, 26:49.49
Merhawi Mebrahtu, ERI, 26:55.51
Jimmy Gressier, FRA, 26:58.67
Dominic Lokinyomo Lobalu, SUI, 27:36.29
Oscar Chelimo, UGA, –
Marathon (Men)
Tadese Takele, ETH, 2:03:23
Deresa Geleta, ETH, 2:02:38
Vincent Kipkemoi Ngetich, KEN, 2:03:13
Tesfaye Deriba, ETH, 2:04:13
Erick Kiplagat Sang, KEN, 2:04:30
Kennedy Kimutai, KEN, 2:05:27
Elroy Gelant, RSA, 2:05:36
Ryota Kondo, JPN, 2:05:39
Suldan Hassan, SWE, 2:05:57
Kyohei Hosoya, JPN, 2:05:58
Oqbe Kibrom Ruesom, ERI, 2:05:37
Hillary Kipkoech, KEN, 2:04:45
Othmane El Goumri, MAR, 2:05:12
Ibrahim Hassan, DJI, 2:06:13
Amanal Petros, GER, 2:04:58
Mohamed Reda El Aaraby, MAR, 2:06:45
Samsom Amare, ERI, 2:06:26
Ablelom Maryo, ERI, 2:07:05
Koen Naert, BEL, 2:06:56
Jie He, CHN, 2:06:57
Richard Ringer, GER, 2:05:46
Yitayew Abuhay, ISR, 2:07:26
Sezgin Ataç, TUR, 2:07:26
Ebba Tulu Chala, SWE, 2:07:38
Shaohui Yang, CHN, 2:07:09
Haimro Alame, ISR, 2:06:04
Solomon Mutai, UGA, 2:07:41
Kaan Kigen ÖzBilen, TUR, 2:04:16
Abel Chelangat, UGA, 2:08:49
Hugo Catrileo, CHI, 2:08:44
CJ Albertson, USA, 2:08:17
Iliass Aouani, ITA, 2:06:06
Gashau Ayale, ISR, 2:04:53
Andrew Buchanan, AUS, 2:06:22
Soufiyan Bouqantar, MAR, 2:09:15
